epoch,accuracy,loss
0,0.13817541301250458,3.0526130199432373
1,0.20679642260074615,2.7231040000915527
2,0.24399350583553314,2.556053876876831
3,0.26518478989601135,2.4562671184539795
4,0.28081032633781433,2.3887674808502197
5,0.294499933719635,2.320798873901367
6,0.30186331272125244,2.2879974842071533
7,0.3084661364555359,2.2457170486450195
8,0.31330591440200806,2.209847927093506
9,0.3217063546180725,2.1921002864837646
10,0.3242299556732178,2.1607069969177246
11,0.32378053665161133,2.149946451187134
12,0.32910430431365967,2.131788969039917
13,0.33546513319015503,2.11234712600708
14,0.3357071280479431,2.102020263671875
15,0.337643027305603,2.080779552459717
16,0.3417568504810333,2.0615110397338867
17,0.34666574001312256,2.054239511489868
18,0.3481176793575287,2.035491466522217
19,0.3532339930534363,2.0167102813720703
20,0.35489335656166077,2.026768684387207
21,0.35022643208503723,2.012786626815796
22,0.3544093668460846,2.0050134658813477
23,0.3581083416938782,1.9874145984649658
24,0.36101219058036804,1.975387692451477
25,0.3609430491924286,1.9640244245529175
26,0.3594219982624054,1.9635498523712158
27,0.361772745847702,1.9622383117675781
28,0.3628789782524109,1.9511833190917969
29,0.3661976754665375,1.9423900842666626
30,0.3667507767677307,1.9372713565826416
31,0.3678570091724396,1.930301547050476
32,0.36758047342300415,1.925535798072815
33,0.3695509433746338,1.920519232749939
34,0.370484322309494,1.9025098085403442
