epoch,accuracy,loss
0,0.12030283361673355,3.026299238204956
1,0.20448024570941925,2.688504457473755
2,0.24551457166671753,2.5439507961273193
3,0.26134753227233887,2.4558682441711426
4,0.2752445936203003,2.3886120319366455
5,0.28392159938812256,2.3567123413085938
6,0.29263317584991455,2.3118529319763184
7,0.2949839234352112,2.273405075073242
8,0.3084661364555359,2.2440218925476074
9,0.31368616223335266,2.2121384143829346
10,0.31468871235847473,2.1876838207244873
11,0.32191377878189087,2.1728968620300293
12,0.3202890157699585,2.153773784637451
13,0.32319286465644836,2.146026611328125
14,0.3309364914894104,2.118269920349121
15,0.33021053671836853,2.1148407459259033
16,0.33342552185058594,2.096949338912964
17,0.3348083198070526,2.079594850540161
18,0.3397863507270813,2.0647096633911133
19,0.3412037193775177,2.0564424991607666
20,0.3405469059944153,2.053086042404175
21,0.3454557955265045,2.0333895683288574
22,0.3414457142353058,2.0308759212493896
23,0.3477374017238617,2.022073268890381
24,0.3488782048225403,2.0115673542022705
25,0.35420194268226624,1.9991371631622314
26,0.3472534418106079,1.9996106624603271
27,0.35192033648490906,1.9861836433410645
28,0.35589587688446045,1.9878085851669312
29,0.3521277606487274,1.9805675745010376
30,0.3566218316555023,1.9715638160705566
31,0.35651811957359314,1.9589343070983887
32,0.3582466244697571,1.9589205980300903
33,0.3609430491924286,1.955100178718567
34,0.36125418543815613,1.946229100227356
