epoch,accuracy,loss
0,0.10066719353199005,3.14041805267334
1,0.18380752205848694,2.799107789993286
2,0.23203235864639282,2.621037721633911
3,0.2547447085380554,2.506195306777954
4,0.268952876329422,2.4385573863983154
5,0.2762471139431,2.3959999084472656
6,0.28838109970092773,2.33644437789917
7,0.29778409004211426,2.304698944091797
8,0.2993742823600769,2.271946668624878
9,0.3081204295158386,2.239201307296753
10,0.3165900409221649,2.2096364498138428
11,0.31358247995376587,2.195615768432617
12,0.3222249150276184,2.174592971801758
13,0.32267430424690247,2.1488609313964844
14,0.3264769911766052,2.1295323371887207
15,0.33038339018821716,2.124022960662842
16,0.32896602153778076,2.1157679557800293
17,0.33186987042427063,2.1013050079345703
18,0.33653679490089417,2.0823421478271484
19,0.3396826386451721,2.0721335411071777
20,0.34065061807632446,2.061598539352417
21,0.3392678201198578,2.0532259941101074
22,0.34521380066871643,2.0441408157348633
23,0.3461817800998688,2.036000967025757
24,0.3476336896419525,2.0286216735839844
25,0.34766826033592224,2.017061710357666
26,0.34766826033592224,2.014927864074707
27,0.35026100277900696,2.0172030925750732
28,0.35257717967033386,2.0011274814605713
29,0.35074499249458313,1.9919829368591309
30,0.35627615451812744,1.9874271154403687
31,0.35447850823402405,1.975365161895752
32,0.3566218316555023,1.9785370826721191
33,0.3587651550769806,1.9686635732650757
34,0.3577280640602112,1.9691022634506226
